title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
Дом 153 м² на участке 5 сот.,18599000.0,153.0,5.0,22 июля 18:01,пгт. Большие Вязёмы,Можайское шоссе,27,Дом,150-180 м²,3-6 соток,121562.09150326798,100k-150k
"Дача 92,5 м² на участке 8 сот.",3500000.0,92.5,8.0,8 августа 12:21,СНТ Поляна,Новокаширское шоссе,49,Дача,90-120 м²,6-9 соток,37837.83783783784,30k-40k
Дача 20 м² на участке 14 сот.,1990000.0,20.0,14.0,1 час назад,садовое товарищество Нива,Дмитровское шоссе,84,Дача,0-60 м²,12-15 соток,99500.0,90k-100k
Дача 42 м² на участке 7 сот.,1300000.0,42.0,7.0,2 часа назад,д. Алфёрово,Новорязанское шоссе,117,Дача,0-60 м²,6-9 соток,30952.380952380954,30k-40k
"Дом 90 м² на участке 6,5 сот.",5850000.0,90.0,,1 неделю назад,КП Шелестово-2,Волоколамское шоссе,42,Дом,90-120 м²,,65000.0,60k-70k
Дом 60 м² на участке 6 сот.,3200000.0,60.0,6.0,1 час назад,СНТ Заря,Носовихинское шоссе,28,Дом,60-90 м²,6-9 соток,53333.333333333336,50k-60k
"Дом 272 м² на участке 9,5 сот.",38700000.0,272.0,,24 декабря 2024,квартал дачной застройки Бризе,Пятницкое шоссе,10,Дом,240-300 м²,,142279.41176470587,100k-150k
Дом 125 м² на участке 6 сот.,10750000.0,125.0,6.0,15 июля 08:15,Троицк,Калужское шоссе,23,Дом,120-150 м²,6-9 соток,86000.0,80k-90k
"Дом 96 м² на участке 8,6 сот.",8000000.0,96.0,,28 января 12:52,Чехов,Симферопольское шоссе,49,Дом,90-120 м²,,83333.33333333333,80k-90k
Дом 34 м² на участке 20 сот.,1400000.0,34.0,20.0,2 недели назад,СНТ Руть восточнее д. Благовещенье,Киевское шоссе,97,Дом,0-60 м²,17+ соток,41176.470588235294,40k-50k
Дача 20 м² на участке 6 сот.,1500000.0,20.0,6.0,2 часа назад,СНТ Фрегат,Новокаширское шоссе,51,Дача,0-60 м²,6-9 соток,75000.0,70k-80k
Коттедж 146 м² на участке 4 сот.,21560000.0,146.0,4.0,30 апреля 2021,коттеджный пос. Английский квартал в Аносино,Волоколамское шоссе,25,Коттедж,120-150 м²,3-6 соток,147671.23287671234,100k-150k
"Дом 87 м² на участке 5,2 сот.",3400000.0,87.0,,7 августа 16:13,СНТ Лесной,Варшавское шоссе,54,Дом,60-90 м²,,39080.45977011494,30k-40k
Дом 105 м² на участке 7 сот.,24732584.0,105.0,7.0,5 августа 17:39,Королёв,Ярославское шоссе,10,Дом,90-120 м²,6-9 соток,235548.41904761904,200k-250k
"Дом 115,2 м² на участке 12,3 сот.",5000000.0,115.2,,18 июля 20:21,Павловский Посад,Горьковское шоссе,54,Дом,90-120 м²,,43402.777777777774,40k-50k
"Дом 77,7 м² на участке 8,8 сот.",11500000.0,77.7,,7 августа 22:03,"Долгопрудный,садовое товарищество Клязьма",Дмитровское шоссе,8,Дом,60-90 м²,,148005.148005148,100k-150k
Дача 22 м² на участке 6 сот.,750000.0,22.0,6.0,27 июля 11:52,садовое товарищество Атмосфера,Дмитровское шоссе,80,Дача,0-60 м²,6-9 соток,34090.90909090909,30k-40k
Дача 20 м² на участке 6 сот.,700000.0,20.0,6.0,2 недели назад,садоводческое некоммерческое товарищество Электрон,Ярославское шоссе,58,Дача,0-60 м²,6-9 соток,35000.0,30k-40k
Дача 50 м² на участке 10 сот.,1500000.0,50.0,10.0,Вчера,СНТ Измайлово,Рогачёвское шоссе,79,Дача,0-60 м²,9-12 соток,30000.0,30k-40k
"Дом 272 м² на участке 9,5 сот.",38700000.0,272.0,,24 декабря 2024,квартал дачной застройки Бризе,Пятницкое шоссе,10,Дом,240-300 м²,,142279.41176470587,100k-150k
Дом 105 м² на участке 7 сот.,24732584.0,105.0,7.0,5 августа 17:39,Королёв,Ярославское шоссе,10,Дом,90-120 м²,6-9 соток,235548.41904761904,200k-250k
Дом 154 м² на участке 7 сот.,11500000.0,154.0,7.0,4 марта 12:18,д. Еремеево,Пятницкое шоссе,25,Дом,150-180 м²,6-9 соток,74675.32467532468,70k-80k
Дом 153 м² на участке 5 сот.,18599000.0,153.0,5.0,22 июля 18:01,пгт. Большие Вязёмы,Можайское шоссе,27,Дом,150-180 м²,3-6 соток,121562.09150326798,100k-150k
Дом 70 м² на участке 15 сот.,7000000.0,70.0,15.0,4 апреля 13:12,с. Рахманово,Ярославское шоссе,34,Дом,60-90 м²,15-17 соток,100000.0,100k-150k
Дом 55 м² на участке 6 сот.,1300000.0,55.0,6.0,19 июля 15:59,СНТ Просека-Поздново,Новокаширское шоссе,47,Дом,0-60 м²,6-9 соток,23636.363636363636,20k-30k
Дача 56 м² на участке 6 сот.,5200000.0,56.0,6.0,1 час назад,СНТ Заря,Симферопольское шоссе,60,Дача,0-60 м²,6-9 соток,92857.14285714286,90k-100k
Дом 34 м² на участке 20 сот.,1400000.0,34.0,20.0,2 недели назад,СНТ Руть восточнее д. Благовещенье,Киевское шоссе,97,Дом,0-60 м²,17+ соток,41176.470588235294,40k-50k
Дом 95 м² на участке 20 сот.,4500000.0,95.0,20.0,1 час назад,д. Гридино,Егорьевское шоссе,78,Дом,90-120 м²,17+ соток,47368.42105263158,40k-50k
Дача 90 м² на участке 4 сот.,3500000.0,90.0,4.0,Вчера,"Электросталь,СНТ Юбилейный",Носовихинское шоссе,40,Дача,90-120 м²,3-6 соток,38888.88888888889,30k-40k
"Дом 201,2 м² на участке 21,3 сот.",14700000.0,201.2,,3 августа 16:04,д. Скриплево,Дмитровское шоссе,55,Дом,180-210 м²,,73061.63021868787,70k-80k
Дом 79 м² на участке 8 сот.,2750000.0,79.0,8.0,27 января 00:44,СНТ Ручеёк,Ярославское шоссе,53,Дом,60-90 м²,6-9 соток,34810.126582278484,30k-40k
"Дом 78,3 м² на участке 6 сот.",7700000.0,78.3,6.0,3 недели назад,Клин,Ленинградское шоссе,61,Дом,60-90 м²,6-9 соток,98339.7190293742,90k-100k
"Дом 105 м² на участке 6,3 сот.",9980000.0,105.0,,23 июля 17:49,КП Тюльпаново-2,Новорижское шоссе,69,Дом,90-120 м²,,95047.61904761905,90k-100k
Дом 248 м² на участке 9 сот.,61000000.0,248.0,9.0,7 дней назад,"д. Исаково,КП Павловы озёра",Волоколамское шоссе,16,Дом,240-300 м²,9-12 соток,245967.74193548388,200k-250k
Дом 119 м² на участке 18 сот.,17000000.0,119.0,18.0,1 час назад,Дедовск,Волоколамское шоссе,16,Дом,90-120 м²,17+ соток,142857.14285714287,100k-150k
Коттедж 182 м² на участке 14 сот.,26500000.0,182.0,14.0,1 час назад,КП Рузские дачи,Новорижское шоссе,93,Коттедж,180-210 м²,12-15 соток,145604.3956043956,100k-150k
Дача 89 м² на участке 6 сот.,3700000.0,89.0,6.0,Вчера,СНТ Сергеево,Симферопольское шоссе,48,Дача,60-90 м²,6-9 соток,41573.03370786517,40k-50k
Дом 50 м² на участке 6 сот.,3250000.0,50.0,6.0,2 июля 09:57,СНТ Орион,Фряновское шоссе,30,Дом,0-60 м²,6-9 соток,65000.0,60k-70k
Дом 153 м² на участке 7 сот.,3500000.0,153.0,7.0,2 октября 2024,коттеджный пос. Золотые Пески,Минское шоссе,101,Дом,150-180 м²,6-9 соток,22875.816993464054,20k-30k
Дом 64 м² на участке 12 сот.,3150000.0,64.0,12.0,1 час назад,д. Полупирогово,Каширское шоссе,53,Дом,60-90 м²,12-15 соток,49218.75,40k-50k
Дом 40 м² на участке 5 сот.,3000000.0,40.0,5.0,8 мая 21:25,д. Шишкино,Новокаширское шоссе,35,Дом,0-60 м²,3-6 соток,75000.0,70k-80k
"Дом 128 м² на участке 8,7 сот.",10900000.0,128.0,,4 февраля 15:40,"Домодедово, коттеджный пос. Сиеста Южная",Новокаширское шоссе,27,Дом,120-150 м²,,85156.25,80k-90k
Дом 130 м² на участке 8 сот.,5200000.0,130.0,8.0,2 часа назад,коттеджный пос. Заповедный Берег,Симферопольское шоссе,65,Дом,120-150 м²,6-9 соток,40000.0,40k-50k
"Таунхаус 165 м² на участке 1,9 сот.",27000000.0,165.0,,22 мая 2024,д. Мартемьяново,Киевское шоссе,27,Таунхаус,150-180 м²,,163636.36363636365,150k-200k
"Дом 82,9 м² на участке 9,5 сот.",11500000.0,82.9,,9 августа 19:26,коттеджный пос. Львовские Озёра-2,Новорижское шоссе,109,Дом,60-90 м²,,138721.3510253317,100k-150k
Дом 180 м² на участке 15 сот.,17990000.0,180.0,15.0,21 мая 12:41,территория ДНП Защитник,Волоколамское шоссе,53,Дом,180-210 м²,15-17 соток,99944.44444444444,90k-100k
Дом 416 м² на участке 16 сот.,16200000.0,416.0,16.0,1 час назад,д. Рубцово,Волоколамское шоссе,53,Дом,300+ м²,15-17 соток,38942.307692307695,30k-40k
Дом 108 м² на участке 12 сот.,2500000.0,108.0,12.0,Вчера,садоводческое некоммерческое товарищество Дорожник,Новорижское шоссе,104,Дом,90-120 м²,12-15 соток,23148.14814814815,20k-30k
Дача 24 м² на участке 6 сот.,1500000.0,24.0,6.0,10 мая 15:17,СНТ Буреломка-2,Щёлковское шоссе,37,Дача,0-60 м²,6-9 соток,62500.0,60k-70k
Дом 123 м² на участке 8 сот.,2800000.0,123.0,8.0,9 августа 23:53,КП Раздолье,Минское шоссе,81,Дом,120-150 м²,6-9 соток,22764.227642276423,20k-30k
