title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
Дача 90 м² на участке 8 сот.,3500000.0,90.0,8.0,4 августа 21:19,СНТ Лесник,Новокаширское шоссе,58,Дача,90-120 м²,6-9 соток,38888.88888888889,30k-40k
"Дача 36 м² на участке 6,6 сот.",1900000.0,36.0,,7 дней назад,садоводческое некоммерческое товарищество Калинка,Минское шоссе,75,Дача,0-60 м²,,52777.77777777778,50k-60k
Дом 168 м² на участке 10 сот.,2799000.0,168.0,10.0,27 июня 12:54,д. Семёнково,Волоколамское шоссе,59,Дом,150-180 м²,9-12 соток,16660.714285714286,10k-20k
Дом 190 м² на участке 6 сот.,33000000.0,190.0,6.0,3 дня назад,СНТ Перхушково-2,Можайское шоссе,18,Дом,180-210 м²,6-9 соток,173684.2105263158,150k-200k
"Дом 129 м² на участке 8,1 сот.",9900000.0,129.0,,3 дня назад,д. Еремеево,Пятницкое шоссе,26,Дом,120-150 м²,,76744.18604651163,70k-80k
Дача 50 м² на участке 8 сот.,1350000.0,50.0,8.0,4 августа 14:49,СНТ Милухино,Ленинградское шоссе,79,Дача,0-60 м²,6-9 соток,27000.0,20k-30k
Дом 80 м² на участке 6 сот.,4500000.0,80.0,6.0,24 мая 13:26,СНТ Труженик,Можайское шоссе,46,Дом,60-90 м²,6-9 соток,56250.0,50k-60k
Дом 50 м² на участке 15 сот.,1450000.0,50.0,15.0,3 июля 22:24,д. Калистово,Новорижское шоссе,122,Дом,0-60 м²,15-17 соток,29000.0,20k-30k
Дача 45 м² на участке 10 сот.,2200000.0,45.0,10.0,14 июня 11:37,садовое товарищество Минерал-1,Киевское шоссе,59,Дача,0-60 м²,9-12 соток,48888.88888888889,40k-50k
"Дом 101 м² на участке 8,5 сот.",4990000.0,101.0,,1 неделю назад,ДПК Вишнёвый Сад 2,Волоколамское шоссе,59,Дом,90-120 м²,,49405.94059405941,40k-50k
"Дом 129 м² на участке 8,1 сот.",9900000.0,129.0,,3 дня назад,д. Еремеево,Пятницкое шоссе,26,Дом,120-150 м²,,76744.18604651163,70k-80k
Дом 80 м² на участке 6 сот.,4500000.0,80.0,6.0,24 мая 13:26,СНТ Труженик,Можайское шоссе,46,Дом,60-90 м²,6-9 соток,56250.0,50k-60k
Дача 50 м² на участке 8 сот.,1350000.0,50.0,8.0,4 августа 14:49,СНТ Милухино,Ленинградское шоссе,79,Дача,0-60 м²,6-9 соток,27000.0,20k-30k
Дом 160 м² на участке 10 сот.,2900000.0,160.0,10.0,15 марта 2024,коттеджный пос. Лесное Озеро,Новорижское шоссе,79,Дом,150-180 м²,9-12 соток,18125.0,10k-20k
Дом 50 м² на участке 15 сот.,1450000.0,50.0,15.0,3 июля 22:24,д. Калистово,Новорижское шоссе,122,Дом,0-60 м²,15-17 соток,29000.0,20k-30k
Дом 108 м² на участке 5 сот.,3800000.0,108.0,5.0,7 дней назад,д. Донино,Егорьевское шоссе,31,Дом,90-120 м²,3-6 соток,35185.18518518518,30k-40k
Дача 45 м² на участке 10 сот.,2200000.0,45.0,10.0,14 июня 11:37,садовое товарищество Минерал-1,Киевское шоссе,59,Дача,0-60 м²,9-12 соток,48888.88888888889,40k-50k
"Дом 101 м² на участке 8,5 сот.",4990000.0,101.0,,1 неделю назад,ДПК Вишнёвый Сад 2,Волоколамское шоссе,59,Дом,90-120 м²,,49405.94059405941,40k-50k
Дом 90 м² на участке 7 сот.,5200000.0,90.0,7.0,7 дней назад,с. Липицы,Симферопольское шоссе,83,Дом,90-120 м²,6-9 соток,57777.77777777778,50k-60k
Дом 244 м² на участке 6 сот.,9400000.0,244.0,6.0,4 июля 18:43,Подольск,Варшавское шоссе,17,Дом,240-300 м²,6-9 соток,38524.59016393442,30k-40k
Дом 100 м² на участке 6 сот.,5900000.0,100.0,6.0,3 дня назад,с/т Прометей,Горьковское шоссе,25,Дом,90-120 м²,6-9 соток,59000.0,50k-60k
Коттедж 130 м² на участке 8 сот.,9499999.0,130.0,8.0,11 марта 22:28,д. Чапаевка,Можайское шоссе,49,Коттедж,120-150 м²,6-9 соток,73076.91538461538,70k-80k
"Дом 80 м² на участке 5,3 сот.",3999000.0,80.0,,1 апреля 12:33,д. Сумароково,Новокаширское шоссе,54,Дом,60-90 м²,,49987.5,40k-50k
"Дача 68,8 м² на участке 6 сот.",3500000.0,68.8,6.0,6 августа 10:00,СНТ Нефтехимик,Новорязанское шоссе,121,Дача,60-90 м²,6-9 соток,50872.09302325582,50k-60k
"Дом 87,7 м² на участке 8,9 сот.",8000000.0,87.7,,16 июля 2024,дп. Солнечный Лес,Рогачёвское шоссе,38,Дом,60-90 м²,,91220.06841505131,90k-100k
Дом 40 м² на участке 10 сот.,2000000.0,40.0,10.0,17 января 2023,"Черноголовка, СНТ Крона",Щёлковское шоссе,44,Дом,0-60 м²,9-12 соток,50000.0,50k-60k
"Дом 195 м² на участке 5,9 сот.",15500000.0,195.0,,13 июня 12:06,"д. Мостовское, КП Славянские берега",Варшавское шоссе,13,Дом,180-210 м²,,79487.17948717948,70k-80k
Дача 52 м² на участке 12 сот.,1200000.0,52.0,12.0,3 дня назад,садовое товарищество Малинки,Новорижское шоссе,111,Дача,0-60 м²,12-15 соток,23076.923076923078,20k-30k
Дом 135 м² на участке 10 сот.,21000000.0,135.0,10.0,3 дня назад,д. Ламишино,Пятницкое шоссе,41,Дом,120-150 м²,9-12 соток,155555.55555555556,150k-200k
Дом 50 м² на участке 8 сот.,1000000.0,50.0,8.0,19 июля 23:20,СНТ Горки,Ярославское шоссе,93,Дом,0-60 м²,6-9 соток,20000.0,20k-30k
Дом 245 м² на участке 6 сот.,4350000.0,245.0,6.0,16 марта 16:21,д. Прудки,Новорязанское шоссе,16,Дом,240-300 м²,6-9 соток,17755.102040816328,10k-20k
"Дом 41,2 м² на участке 2 сот.",2500000.0,41.2,2.0,4 августа 18:33,пос. Дубовая Роща,Егорьевское шоссе,33,Дом,0-60 м²,0-3 сотки,60679.611650485436,60k-70k
Дом 59 м² на участке 8 сот.,3600000.0,59.0,8.0,7 июля 19:58,Волоколамск,Новорижское шоссе,103,Дом,0-60 м²,6-9 соток,61016.94915254237,60k-70k
Дом 34 м² на участке 4 сот.,3000000.0,34.0,4.0,5 августа 11:33,Дмитров,Дмитровское шоссе,50,Дом,0-60 м²,3-6 соток,88235.29411764706,80k-90k
Дача 20 м² на участке 10 сот.,649000.0,20.0,10.0,16 апреля 2018,"Пущино, СНТ Митинские Овраги",Симферопольское шоссе,85,Дача,0-60 м²,9-12 соток,32450.0,30k-40k
"Дом 100 м² на участке 5,5 сот.",2550000.0,100.0,,3 часа назад,д. Матчино,Новокаширское шоссе,38,Дом,90-120 м²,,25500.0,20k-30k
Дом 70 м² на участке 7 сот.,4700000.0,70.0,7.0,1 неделю назад,Красноармейск,Фряновское шоссе,39,Дом,60-90 м²,6-9 соток,67142.85714285714,60k-70k
Дом 50 м² на участке 6 сот.,10000000.0,50.0,6.0,3 дня назад,Троицк,Калужское шоссе,23,Дом,0-60 м²,6-9 соток,200000.0,200k-250k
Дом 35 м² на участке 1 сот.,1500000.0,35.0,1.0,7 дней назад,пгт. Ашукино,Ярославское шоссе,34,Дом,0-60 м²,0-3 сотки,42857.142857142855,40k-50k
Дом 140 м² на участке 15 сот.,3500000.0,140.0,15.0,20 августа 2024,д. Новая,Новорижское шоссе,70,Дом,120-150 м²,15-17 соток,25000.0,20k-30k
Дом 70 м² на участке 6 сот.,2650000.0,70.0,6.0,6 июня 09:45,садоводческое некоммерческое товарищество Возрождение,Горьковское шоссе,56,Дом,60-90 м²,6-9 соток,37857.142857142855,30k-40k
Дом 42 м² на участке 6 сот.,1700000.0,42.0,6.0,Вчера,СНТ Вишнёвый сад,,,Дом,0-60 м²,6-9 соток,40476.19047619047,40k-50k
Дача 30 м² на участке 6 сот.,500000.0,30.0,6.0,2 часа назад,с. Ивашково,Новорязанское шоссе,,Дача,0-60 м²,6-9 соток,16666.666666666668,10k-20k
Дом 60 м² на участке 5 сот.,3499000.0,60.0,5.0,3 дня назад,пос. совхоза Будённовец,Дмитровское шоссе,51,Дом,60-90 м²,3-6 соток,58316.666666666664,50k-60k
"Дача 30 м² на участке 6,1 сот.",1280000.0,30.0,,1 неделю назад,садовое товарищество Энтузиаст,Ярославское шоссе,55,Дача,0-60 м²,,42666.666666666664,40k-50k
"Дача 60 м² на участке 5,5 сот.",1250000.0,60.0,,3 дня назад,садовое товарищество Мирный,Носовихинское шоссе,46,Дача,60-90 м²,,20833.333333333332,20k-30k
Дача 32 м² на участке 6 сот.,1180000.0,32.0,6.0,6 августа 17:44,садоводческое некоммерческое товарищество Надежда-МГУ,Киевское шоссе,68,Дача,0-60 м²,6-9 соток,36875.0,30k-40k
Дом 120 м² на участке 9 сот.,8250000.0,120.0,9.0,7 ноября 2023,садовое товарищество Бережки,Новорижское шоссе,86,Дом,120-150 м²,9-12 соток,68750.0,60k-70k
"Дом 226,3 м² на участке 9 сот.",7850000.0,226.3,9.0,1 июня 14:44,пгт. Лесной,Ярославское шоссе,25,Дом,210-240 м²,9-12 соток,34688.466637207246,30k-40k
Дом 61 м² на участке 6 сот.,7500000.0,61.0,6.0,26 мая 20:21,Домодедово,Новокаширское шоссе,22,Дом,60-90 м²,6-9 соток,122950.81967213115,100k-150k
"Дом 46,5 м² на участке 6 сот.",2000000.0,46.5,6.0,4 часа назад,СНТ Иволга,,,Дом,0-60 м²,6-9 соток,43010.75268817204,40k-50k
Дом 23 м² на участке 7 сот.,3900000.0,23.0,7.0,7 августа 11:17,д. Федюково,Новокаширское шоссе,7,Дом,0-60 м²,6-9 соток,169565.21739130435,150k-200k
Дом 85 м² на участке 10 сот.,7050000.0,85.0,10.0,7 июля 16:43,садовые участки Аксёново,Фряновское шоссе,48,Дом,60-90 м²,9-12 соток,82941.17647058824,80k-90k
"Дом 60,4 м² на участке 6,4 сот.",6750000.0,60.4,,7 августа 16:33,квартал Семейный Некст-2,Пятницкое шоссе,34,Дом,60-90 м²,,111754.96688741722,100k-150k
Дом 96 м² на участке 6 сот.,6150000.0,96.0,6.0,Вчера,Коломна,Новорязанское шоссе,86,Дом,90-120 м²,6-9 соток,64062.5,60k-70k
"Дом 96,4 м² на участке 6 сот.",6100000.0,96.4,6.0,30 июля 13:52,д. Петровское,Егорьевское шоссе,40,Дом,90-120 м²,6-9 соток,63278.00829875518,60k-70k
Дача 50 м² на участке 10 сот.,2100000.0,50.0,10.0,6 августа 19:15,садоводческое некоммерческое товарищество Нарские Пруды,Минское шоссе,65,Дача,0-60 м²,9-12 соток,42000.0,40k-50k
Дом 92 м² на участке 9 сот.,4990000.0,92.0,9.0,14 мая 16:29,"д. Лисавино, ЛПХ Лисавино",Пятницкое шоссе,28,Дом,90-120 м²,9-12 соток,54239.13043478261,50k-60k
Дача 85 м² на участке 10 сот.,2300000.0,85.0,10.0,12 января 16:58,ТСН Солнышко,Симферопольское шоссе,74,Дача,60-90 м²,9-12 соток,27058.823529411766,20k-30k
Дача 48 м² на участке 6 сот.,2500000.0,48.0,6.0,7 июня 17:32,СНТ Землепашец,Ярославское шоссе,57,Дача,0-60 м²,6-9 соток,52083.333333333336,50k-60k
Дом 92 м² на участке 9 сот.,4990000.0,92.0,9.0,14 мая 16:29,"д. Лисавино, ЛПХ Лисавино",Пятницкое шоссе,28,Дом,90-120 м²,9-12 соток,54239.13043478261,50k-60k
Дача 85 м² на участке 10 сот.,2300000.0,85.0,10.0,12 января 16:58,ТСН Солнышко,Симферопольское шоссе,74,Дача,60-90 м²,9-12 соток,27058.823529411766,20k-30k
Дом 45 м² на участке 6 сот.,1399999.0,45.0,6.0,7 июля 2024,пос. Фрязево,Носовихинское шоссе,40,Дом,0-60 м²,6-9 соток,31111.088888888888,30k-40k
Дача 48 м² на участке 6 сот.,2500000.0,48.0,6.0,7 июня 17:32,СНТ Землепашец,Ярославское шоссе,57,Дача,0-60 м²,6-9 соток,52083.333333333336,50k-60k
"Дом 55 м² на участке 10,3 сот.",6500000.0,55.0,,7 августа 15:51,пос. Часцы,Можайское шоссе,34,Дом,0-60 м²,,118181.81818181818,100k-150k
Дом 650 м² на участке 30 сот.,67500000.0,650.0,30.0,3 дня назад,"д. Хлопово, садовое товарищество Исток",Киевское шоссе,30,Дом,300+ м²,17+ соток,103846.15384615384,100k-150k
Коттедж 288 м² на участке 8 сот.,17000000.0,288.0,8.0,20 ноября 2024,Видное,Симферопольское шоссе,5,Коттедж,240-300 м²,6-9 соток,59027.77777777778,50k-60k
Дом 42 м² на участке 10 сот.,1600000.0,42.0,10.0,6 часов назад,садоводческое товарищество Кремёнки,Симферопольское шоссе,78,Дом,0-60 м²,9-12 соток,38095.23809523809,30k-40k
Таунхаус 101 м² на участке 5 сот.,7500000.0,101.0,5.0,18 марта 17:01,Красногорск,Пятницкое шоссе,17,Таунхаус,90-120 м²,3-6 соток,74257.42574257425,70k-80k
Дом 105 м² на участке 9 сот.,5500000.0,105.0,9.0,2 недели назад,КП Москвичи,Минское шоссе,79,Дом,90-120 м²,9-12 соток,52380.95238095238,50k-60k
"Дом 63 м² на участке 11,5 сот.",7000000.0,63.0,,5 февраля 10:52,д. Сурмино,Дмитровское шоссе,33,Дом,60-90 м²,,111111.11111111111,100k-150k
"Коттедж 125 м² на участке 4,2 сот.",8145000.0,125.0,,Вчера,д. Сырьево,Киевское шоссе,34,Коттедж,120-150 м²,,65160.0,60k-70k
"Коттедж 111,2 м² на участке 5 сот.",7400000.0,111.2,5.0,21 июня 16:23,"д. Матчино, КП Калина",Новокаширское шоссе,38,Коттедж,90-120 м²,3-6 соток,66546.76258992805,60k-70k
"Дача 53,6 м² на участке 9,2 сот.",2199000.0,53.6,,7 августа 15:50,товарищество собственников недвижимости Чайка-2,Дмитровское шоссе,61,Дача,0-60 м²,,41026.119402985074,40k-50k
Дом 70 м² на участке 16 сот.,5500000.0,70.0,16.0,9 января 11:51,дп. Солнечный Берег,Рогачёвское шоссе,66,Дом,60-90 м²,15-17 соток,78571.42857142857,70k-80k
Дом 83 м² на участке 10 сот.,6390000.0,83.0,10.0,5 часов назад,д. Грибанино,Горьковское шоссе,50,Дом,60-90 м²,9-12 соток,76987.95180722892,70k-80k
Дом 60 м² на участке 6 сот.,3100000.0,60.0,6.0,5 апреля 2024,ЛМС,Варшавское шоссе,52,Дом,60-90 м²,6-9 соток,51666.666666666664,50k-60k
Дача 100 м² на участке 12 сот.,5000000.0,100.0,12.0,7 июля 11:34,СНТ Андреевское,Минское шоссе,48,Дача,90-120 м²,12-15 соток,50000.0,50k-60k
Дом 100 м² на участке 14 сот.,8600000.0,100.0,14.0,Вчера,дп. Солнечный Берег,Рогачёвское шоссе,67,Дом,90-120 м²,12-15 соток,86000.0,80k-90k
"Дом 75,1 м² на участке 6 сот.",1600000.0,75.1,6.0,8 мая 20:26,СНТ Радуга,Ленинградское шоссе,54,Дом,60-90 м²,6-9 соток,21304.92676431425,20k-30k
Дом 63 м² на участке 5 сот.,6800000.0,63.0,5.0,2 июня 22:42,Троицк,Калужское шоссе,19,Дом,60-90 м²,3-6 соток,107936.50793650794,100k-150k
"Дом 120 м² на участке 8,5 сот.",4450000.0,120.0,,1 неделю назад,дп. Фестиваль,Егорьевское шоссе,43,Дом,120-150 м²,,37083.333333333336,30k-40k
Дом 20 м² на участке 6 сот.,1820000.0,20.0,6.0,7 часов назад,СНТ Луч-2,Ярославское шоссе,59,Дом,0-60 м²,6-9 соток,91000.0,90k-100k
Дом 70 м² на участке 12 сот.,6500000.0,70.0,12.0,Вчера,"Домодедово, СНТ Яблоко",Новокаширское шоссе,38,Дом,60-90 м²,12-15 соток,92857.14285714286,90k-100k
Дом 107 м² на участке 9 сот.,4000000.0,107.0,9.0,12 августа 2022,д. Чиркино,Каширское шоссе,63,Дом,90-120 м²,9-12 соток,37383.17757009346,30k-40k
Дом 70 м² на участке 6 сот.,7100000.0,70.0,6.0,30 июня 14:12,д. Ябедино,Волоколамское шоссе,38,Дом,60-90 м²,6-9 соток,101428.57142857143,100k-150k
Дом 73 м² на участке 13 сот.,4100000.0,73.0,13.0,5 июня 10:23,д. Алексеево,Горьковское шоссе,54,Дом,60-90 м²,12-15 соток,56164.38356164384,50k-60k
"Коттедж 325,6 м² на участке 8 сот.",79900000.0,325.6,8.0,7 дней назад,д. Грибки,Дмитровское шоссе,7,Коттедж,300+ м²,6-9 соток,245393.12039312036,200k-250k
"Дом 112 м² на участке 12,6 сот.",5500000.0,112.0,,21 октября 2024,ДНТ Васильково,Симферопольское шоссе,47,Дом,90-120 м²,,49107.142857142855,40k-50k
"Дом 130 м² на участке 7,7 сот.",7750000.0,130.0,,1 неделю назад,коттеджный пос. Рига Грин,Волоколамское шоссе,53,Дом,120-150 м²,,59615.38461538462,50k-60k
"Дом 65 м² на участке 6,6 сот.",2990000.0,65.0,,5 августа 21:56,СНТ Прибор,Егорьевское шоссе,42,Дом,60-90 м²,,46000.0,40k-50k
"Дом 145 м² на участке 6,2 сот.",11750000.0,145.0,,2 июня 18:39,КП Братовщина,Ярославское шоссе,21,Дом,120-150 м²,,81034.4827586207,80k-90k
Дом 102 м² на участке 6 сот.,5800000.0,102.0,6.0,2 недели назад,с. Молоди,Симферопольское шоссе,34,Дом,90-120 м²,6-9 соток,56862.74509803922,50k-60k
Дом 126 м² на участке 6 сот.,13000000.0,126.0,6.0,3 дня назад,д. Покров,Симферопольское шоссе,45,Дом,120-150 м²,6-9 соток,103174.60317460318,100k-150k
"Дача 30 м² на участке 5,5 сот.",1800000.0,30.0,,4 часа назад,СНТ Химик-1,Новорязанское шоссе,63,Дача,0-60 м²,,60000.0,60k-70k
"Дом 73,9 м² на участке 12,1 сот.",3900000.0,73.9,,5 июня 2024,д. Шубино,Ярославское шоссе,69,Дом,60-90 м²,,52774.018944519616,50k-60k
Дом 92 м² на участке 12 сот.,6499000.0,92.0,12.0,22 июля 06:59,ЛМС,Варшавское шоссе,47,Дом,90-120 м²,12-15 соток,70641.30434782608,70k-80k
"Дом 118,8 м² на участке 6,5 сот.",6400000.0,118.8,,11 декабря 2024,КП Усадьба Глебово,Егорьевское шоссе,40,Дом,90-120 м²,,53872.053872053875,50k-60k
Дом 118 м² на участке 6 сот.,5990000.0,118.0,6.0,30 июля 2024,садовое товарищество Вита,Рогачёвское шоссе,36,Дом,90-120 м²,6-9 соток,50762.71186440678,50k-60k
"Дом 40 м² на участке 6,2 сот.",5950000.0,40.0,,3 дня назад,"д. Еремеево, СНТ Мечта",Пятницкое шоссе,25,Дом,0-60 м²,,148750.0,100k-150k
Дача 80 м² на участке 6 сот.,3150000.0,80.0,6.0,25 июня 2021,садоводческое некоммерческое товарищество Заря-2-ЗИЛ,Минское шоссе,55,Дача,60-90 м²,6-9 соток,39375.0,30k-40k
"Дача 44,2 м² на участке 6,2 сот.",4950000.0,44.2,,20 января 13:17,СНТ Южное (около д. Курниково),Симферопольское шоссе,49,Дача,0-60 м²,,111990.95022624434,100k-150k
Дача 66 м² на участке 6 сот.,1500000.0,66.0,6.0,8 июля 13:03,д. Мисцево,Егорьевское шоссе,82,Дача,60-90 м²,6-9 соток,22727.272727272728,20k-30k
Дом 50 м² на участке 6 сот.,3900000.0,50.0,6.0,1 неделю назад,Павловский Посад,Носовихинское шоссе,53,Дом,0-60 м²,6-9 соток,78000.0,70k-80k
Дом 115 м² на участке 6 сот.,15100000.0,115.0,6.0,16 мая 17:53,д. Брёхово,Пятницкое шоссе,17,Дом,90-120 м²,6-9 соток,131304.34782608695,100k-150k
"Дача 47,5 м² на участке 11,5 сот.",1999900.0,47.5,,4 августа 15:28,д. Яковлево,Ярославское шоссе,66,Дача,0-60 м²,,42103.15789473684,40k-50k
Дом 67 м² на участке 6 сот.,7900000.0,67.0,6.0,14 июля 2022,Подольск,Варшавское шоссе,31,Дом,60-90 м²,6-9 соток,117910.44776119402,100k-150k
Дом 94 м² на участке 10 сот.,3650000.0,94.0,10.0,12 мая 16:30,д. Загорье,Новорижское шоссе,55,Дом,90-120 м²,9-12 соток,38829.78723404255,30k-40k
Дом 55 м² на участке 6 сот.,5900000.0,55.0,6.0,3 дня назад,ДНП Южное,Симферопольское шоссе,67,Дом,0-60 м²,6-9 соток,107272.72727272728,100k-150k
Дом 90 м² на участке 5 сот.,7999999.0,90.0,5.0,7 июля 13:10,КП Голландская д.,Рязанское шоссе,46,Дом,90-120 м²,3-6 соток,88888.87777777777,80k-90k
Дом 67 м² на участке 6 сот.,7900000.0,67.0,6.0,14 июля 2022,Подольск,Варшавское шоссе,31,Дом,60-90 м²,6-9 соток,117910.44776119402,100k-150k
Дом 94 м² на участке 10 сот.,3650000.0,94.0,10.0,12 мая 16:30,д. Загорье,Новорижское шоссе,55,Дом,90-120 м²,9-12 соток,38829.78723404255,30k-40k
Дом 55 м² на участке 6 сот.,5900000.0,55.0,6.0,3 дня назад,ДНП Южное,Симферопольское шоссе,67,Дом,0-60 м²,6-9 соток,107272.72727272728,100k-150k
Дом 90 м² на участке 5 сот.,7999999.0,90.0,5.0,7 июля 13:10,КП Голландская д.,Рязанское шоссе,46,Дом,90-120 м²,3-6 соток,88888.87777777777,80k-90k
"Дом 71,1 м² на участке 9 сот.",3250000.0,71.1,9.0,6 июля 18:53,СНТ Фомкино,Ярославское шоссе,27,Дом,60-90 м²,9-12 соток,45710.267229254576,40k-50k
Дом 125 м² на участке 5 сот.,11000000.0,125.0,5.0,26 июня 12:23,Красногорск,Пятницкое шоссе,17,Дом,120-150 м²,3-6 соток,88000.0,80k-90k
"Дом 90,4 м² на участке 6 сот.",7890000.0,90.4,6.0,23 июня 18:41,пос. Трошково Светлое,Егорьевское шоссе,38,Дом,90-120 м²,6-9 соток,87278.76106194689,80k-90k
Дом 80 м² на участке 8 сот.,5500000.0,80.0,8.0,11 июня 2024,СНТ Отдых,Ярославское шоссе,45,Дом,60-90 м²,6-9 соток,68750.0,60k-70k
Дом 150 м² на участке 10 сот.,8800000.0,150.0,10.0,21 июля 21:33,Фрязино,Щёлковское шоссе,24,Дом,150-180 м²,9-12 соток,58666.666666666664,50k-60k
Дача 84 м² на участке 8 сот.,1650000.0,84.0,8.0,7 апреля 22:09,садоводческое некоммерческое товарищество Турист,Минское шоссе,70,Дача,60-90 м²,6-9 соток,19642.85714285714,10k-20k
Дом 90 м² на участке 6 сот.,3100000.0,90.0,6.0,3 недели назад,КП Большое Татариново,Новокаширское шоссе,46,Дом,90-120 м²,6-9 соток,34444.444444444445,30k-40k
"Дом 151 м² на участке 4,2 сот.",12300000.0,151.0,,25 февраля 12:24,д. Брёхово,Пятницкое шоссе,17,Дом,150-180 м²,,81456.9536423841,80k-90k
Дом 136 м² на участке 8 сот.,6950000.0,136.0,8.0,2 недели назад,СНТ Слобода,Рогачёвское шоссе,77,Дом,120-150 м²,6-9 соток,51102.94117647059,50k-60k
Дача 54 м² на участке 8 сот.,3900000.0,54.0,8.0,23 августа 2024,СНТ Лада,Новокаширское шоссе,47,Дача,0-60 м²,6-9 соток,72222.22222222222,70k-80k
Дом 182 м² на участке 16 сот.,12350000.0,182.0,16.0,3 дня назад,Селятино,Киевское шоссе,37,Дом,180-210 м²,15-17 соток,67857.14285714286,60k-70k
"Дом 45 м² на участке 6,2 сот.",3790000.0,45.0,,3 июля 13:46,"д. Степыгино, коттеджный пос. Степыгино-4",Симферопольское шоссе,40,Дом,0-60 м²,,84222.22222222222,80k-90k
"Дом 73,7 м² на участке 19,4 сот.",10500000.0,73.7,,11 июня 14:56,СНТ Богородское-2,Варшавское шоссе,52,Дом,60-90 м²,,142469.4708276798,100k-150k
Дом 120 м² на участке 11 сот.,6500000.0,120.0,11.0,12 августа 2024,д. Долгинино,Минское шоссе,86,Дом,120-150 м²,9-12 соток,54166.666666666664,50k-60k
"Дача 65 м² на участке 4,5 сот.",2500000.0,65.0,,6 августа 22:38,"Сергиев Посад,СНТ Клементьевский пос.",Ярославское шоссе,52,Дача,60-90 м²,,38461.53846153846,30k-40k
Дом 126 м² на участке 6 сот.,11950000.0,126.0,6.0,3 августа 11:18,Лыткарино,Рязанское шоссе,17,Дом,120-150 м²,6-9 соток,94841.26984126984,90k-100k
"Дом 200 м² на участке 6,4 сот.",12500000.0,200.0,,16 апреля 18:20,д. Нефедьево,Пятницкое шоссе,15,Дом,180-210 м²,,62500.0,60k-70k
Дом 140 м² на участке 8 сот.,5200000.0,140.0,8.0,27 июня 16:35,с. Филипповское,Щёлковское шоссе,57,Дом,120-150 м²,6-9 соток,37142.857142857145,30k-40k
Дача 150 м² на участке 7 сот.,9800000.0,150.0,7.0,7 дней назад,СНТ Мцыри,Новосходненское шоссе,12,Дача,150-180 м²,6-9 соток,65333.333333333336,60k-70k
Дом 90 м² на участке 12 сот.,9700000.0,90.0,12.0,4 июля 16:05,д. Алексеевка,Варшавское шоссе,44,Дом,90-120 м²,12-15 соток,107777.77777777778,100k-150k
"Дом 98,7 м² на участке 7,5 сот.",7490000.0,98.7,,11 марта 2024,коттеджный пос. Новинки,Дмитровское шоссе,37,Дом,90-120 м²,,75886.52482269504,70k-80k
Дача 85 м² на участке 6 сот.,5500000.0,85.0,6.0,7 июня 18:28,садовое товарищество Дружба,Носовихинское шоссе,42,Дача,60-90 м²,6-9 соток,64705.882352941175,60k-70k
"Дом 30 м² на участке 6,5 сот.",800000.0,30.0,,7 августа 15:21,с. Березнецово,Новокаширское шоссе,59,Дом,0-60 м²,,26666.666666666668,20k-30k
Дом 120 м² на участке 8 сот.,17800000.0,120.0,8.0,3 дня назад,КП Зеландия,Волоколамское шоссе,26,Дом,120-150 м²,6-9 соток,148333.33333333334,100k-150k
"Дом 56 м² на участке 5,5 сот.",4200000.0,56.0,,17 июля 2024,Серпухов,Симферопольское шоссе,72,Дом,0-60 м²,,75000.0,70k-80k
Дом 42 м² на участке 3 сот.,3600000.0,42.0,3.0,5 августа 12:42,"Щёлково, товарищество собсвенников недвижимости ОНТ Химик",Щёлковское шоссе,16,Дом,0-60 м²,3-6 соток,85714.28571428571,80k-90k
Дом 77 м² на участке 6 сот.,4500000.0,77.0,6.0,3 недели назад,СНТ Лесное,Новокаширское шоссе,49,Дом,60-90 м²,6-9 соток,58441.55844155844,50k-60k
"Дом 60 м² на участке 6,6 сот.",4350000.0,60.0,,4 августа 13:15,пгт. Михнево,Новокаширское шоссе,53,Дом,60-90 м²,,72500.0,70k-80k
Дом 80 м² на участке 15 сот.,7900000.0,80.0,15.0,3 недели назад,коттеджный пос. Новорижское взморье,Новорижское шоссе,119,Дом,60-90 м²,15-17 соток,98750.0,90k-100k
Дом 150 м² на участке 6 сот.,12900000.0,150.0,6.0,3 недели назад,"с. Растуново, КП Растуново",Новокаширское шоссе,36,Дом,150-180 м²,6-9 соток,86000.0,80k-90k
"Дом 92 м² на участке 7,5 сот.",5000000.0,92.0,,22 марта 19:35,коттеджный пос. Земляки,Дмитровское шоссе,37,Дом,90-120 м²,,54347.82608695652,50k-60k
Дом 90 м² на участке 10 сот.,3650000.0,90.0,10.0,1 неделю назад,с. Стариково,Дмитровское шоссе,71,Дом,90-120 м²,9-12 соток,40555.555555555555,40k-50k
Дом 130 м² на участке 7 сот.,6700000.0,130.0,7.0,4 сентября 2024,"д. Матчино, коттеджный пос. Береговой",Новокаширское шоссе,38,Дом,120-150 м²,6-9 соток,51538.46153846154,50k-60k
"Дом 100 м² на участке 6,4 сот.",4800000.0,100.0,,7 дней назад,садовое товарищество Урожайное,Егорьевское шоссе,82,Дом,90-120 м²,,48000.0,40k-50k
Таунхаус 300 м² на участке 10 сот.,4200000.0,300.0,10.0,6 часов назад,д. Солослово,Рублёво-Успенское шоссе,15,Таунхаус,300+ м²,9-12 соток,14000.0,10k-20k
